resource_id,name,url,content_type,primary_topic,secondary_topics,description
LE-IC-002,Learning Engineering Process Description & Diagram (ICICLE),https://sagroups.ieee.org/icicle/learning-engineering-process/,GL,T03,T00,"Official ICICLE description of the Learning Engineering process, including the iterative cycle diagram showing problem framing, design, measurement, and improvement steps."
LE-IC-003,Learning Engineering Case Guide 1.0 (ICICLE),https://docs.google.com/presentation/d/1vvpSd3lLQ7gijMPME40kY4M9EPLv-Bs7KOjITEXfBXo/,GL,T03,"T00, T15","Google Slides deck walking through real LE case examples. Shows how the LE process is applied in practice: problem formulation, data collection, evidence-based iteration."
LE-IC-005,Five Whys Root-Cause Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for applying the Five Whys technique to identify root causes of learning performance gaps. Designed for the LE needs-analysis phase.
LE-IC-006,Fishbone / Cause-Effect Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for Ishikawa (fishbone) cause-and-effect diagrams in learning contexts. Used during LE problem framing and needs analysis to map contributing factors to learning gaps.
LE-IC-007,Performance Task Analysis Template (ICICLE),[ICICLE resources page],TP,T03,T09,Google Doc template for structured task decomposition in learning engineering. Guides practitioners through breaking complex performance into observable subtasks to inform instructional design.
LE-IC-008,Learning Engineering Evidence Decision Tracker (ICICLE),[ICICLE resources page],TP,T15,"T03, T04","Google Drive folder with templates for tracking design decisions alongside the evidence that motivated them throughout the LE process. Supports reproducible, evidence-based practice."
LE-IC-009,Learning Engineering Implementation Checklist (ICICLE),[ICICLE resources page],GL,T03,T15,Google Doc checklist for practitioners implementing a learning engineering project. Covers project phases from needs analysis through evaluation and dissemination.
LE-IC-010,Examples of Roles & Expertise on an LE Team (ICICLE),[ICICLE resources page],GL,T00,T03,"Google Doc describing the multidisciplinary roles typically needed on a learning engineering team: learning scientists, data analysts, instructional designers, engineers, subject matter experts."
LE-IC-011,"Learning Design Principles Toolkit (McEldoon, ICICLE)",[ICICLE resources page],GL,T03,"T01, T12",Google Drive toolkit by Katherine McEldoon connecting cognitive science principles to practical learning design decisions. Bridges learning science theory and LE design practice.
LE-IC-012,Bror Saxberg — MIT Festival of Learning Keynote 2023 (YouTube),https://www.youtube.com/watch?v=FestivalOfLearning2023,GL,T00,,"Keynote address by Bror Saxberg at the 2023 MIT Festival of Learning. Covers the vision of learning engineering, the gap between learning science and practice, and the role of data-driven design."
LE-IC-013,QIP Learning Engineering Video Series (YouTube playlist),[ICICLE resources page],GL,T00,"T03, T16","YouTube playlist produced by Quality Information Partners featuring practitioners and researchers discussing learning engineering principles, case studies, and field development."
LE-IC-014,"Invitation to Learning Engineering Webinar Series (ICICLE, YouTube)",[ICICLE resources page],GL,T00,T16,"YouTube series of ICICLE-hosted webinars introducing the learning engineering field to new practitioners, covering foundational concepts, tools, and community resources."
LE-IC-016,"Silver Lining for Learning — Art & Science of Learning Engineering (podcast, 2023)",[ICICLE resources page],GL,T00,,Episode of the Silver Lining for Learning podcast exploring learning engineering as both an art and a science — balancing rigorous measurement with creative instructional design.
LE-IC-017,"Silver Lining for Learning — Human-Centered Methods in LE (podcast, 2023)",[ICICLE resources page],GL,T03,T02,Episode of the Silver Lining for Learning podcast focused on human-centered design methods applied within the learning engineering process.
LE-IC-018,"Baker, Boser & Snow (2022) — Learning Engineering: A View on Where the Field Is At",[ICICLE resources page],GL,T00,T17,"Open-access article surveying the state of the learning engineering field as of 2022. Reviews definitions, practice norms, evidence standards, and key open problems."
LE-IC-019,Craig et al. (2023) — Learning Engineering Perspectives for Educational Systems,[ICICLE resources page],GL,T00,"T16, T03","Multi-author article framing how learning engineering perspectives can transform educational systems at scale. Addresses policy, infrastructure, and community dimensions."
LE-IC-020,Lee (2023) — Learning Sciences & Learning Engineering: Natural or Artificial Distinction?,[ICICLE resources page],GL,T00,T01,"Scholarly article examining the relationship between learning sciences and learning engineering. Argues for integration rather than separation, tracing epistemological differences and convergences."
LE-IC-021,"Kolodner (2023) — Learning Engineering: What It Is, Why I'm Involved",[ICICLE resources page],GL,T00,,"Personal essay and scholarly reflection by Janet Kolodner on the nature of learning engineering, its roots in learning sciences, and her reasons for engagement with the field."
LE-IC-025,MIT LEAP Group — Learning Engineering and Practice,https://leap.mit.edu,CO,T00,"T06, T07","MIT research group applying learning engineering principles to university-level STEM education. Produces open courseware, edX materials, and research on evidence-based pedagogy at scale."
LE-IC-028,AECT Learning Engagement Activated Podcast — Jim Goodell Episode (2022),[ICICLE resources page],GL,T00,T16,"Podcast episode featuring Jim Goodell discussing learning engineering principles, the ICICLE community, and the future of evidence-based learning design in professional development contexts."
LE-IC-030,SchoolSims — LE-Based Teacher Preparation Simulator (2025),https://schoolsims.com,TP,T08,"T09, T10","Simulation platform for teacher preparation applying learning engineering principles, cognitive task analysis, and naturalistic decision-making. Uses scenario-based assessment and data-driven iteration."
LE-IC-031,"Learning Engineering at a Glance (Schatz, Goodell & Kessler, Army Press, 2023)",[ICICLE resources page],GL,T00,"T13, T10","Concise overview of learning engineering for military and defense training contexts, published by US Army Press. Bridges LE field concepts with high-consequence domain workforce applications."
LE-IC-032,State of XR & Immersive Learning Report 2021 (iLRN / ICICLE),[ICICLE resources page],GL,T08,,"Annual state-of-the-field report on extended reality (XR/VR/AR) in learning contexts, co-produced with ICICLE. Covers research landscape, practitioner adoption, and evidence base for immersive learning."
LE-IC-033,Data Use Throughout the Learning Engineering Process (ICICLE graphic),[ICICLE resources page],GL,T04,"T03, T15","Infographic and supporting documentation mapping how different types of data — formative, summative, behavioral, survey — are collected and used at each stage of the LE process."
LE-IC-034,Learning Engineering Adjacent Academic Programs Directory (ICICLE),[ICICLE resources page],GL,T16,T00,"Google Doc directory of academic programs adjacent to or incorporating learning engineering, including LE-specific degrees, learning sciences programs, educational technology programs, and HCI programs."
LE-IC-035,"Learning Engineering is a Team Sport (ICICLE presentation, 2024)",[ICICLE resources page],GL,T00,T03,"ICICLE presentation emphasizing the collaborative, multidisciplinary nature of learning engineering teams. Addresses how different domain experts contribute to LE projects and how to build effective teams."
LE-IC-036,"Teaming Up to Improve Medical & Healthcare Education (Kurzweil & Marcellas, 2020)",[ICICLE resources page],GL,T13,"T00, T03","Case study and practitioner article applying learning engineering team approaches to medical and healthcare professional education. Demonstrates LE in a high-stakes, complex domain."
LE-IC-037,"Build a Learning Data Dream Team (Torrance, Lin & Goodell, ATD, 2024)",[ICICLE resources page],GL,T04,"T03, T00","Practitioner article on assembling multidisciplinary teams to leverage learning data effectively. Covers roles (data analyst, learning engineer, instructional designer) and collaborative workflows."
LE-IC-038,IDEO Design Thinking Process (ideou.com),https://www.ideou.com/blogs/inspiration/design-thinking-process,GL,T03,T02,"IDEO's publicly available overview of the human-centered design thinking process. Referenced in LE as a precursor and complement to the iterative LE process, particularly for empathy and problem framing stages."
LE-IC-039,Van Campenhout et al. (2023) — Student-Centered Educational Data Science Through Learning Engineering,[ICICLE resources page],GL,T04,"T17, T03",Research article integrating educational data science methods within a learning engineering framework. Demonstrates how student-centered analysis and iterative design reinforce each other in practice.
LE-IC-041,IEEE 1484.1-2003: Learning Technology Systems Architecture (LTSA),https://standards.ieee.org/ieee/1484.1/1655/,SG,T11,T16,Defines the high-level system components and communication protocols required for interoperable learning technology platforms. Foundational systems architecture standard for the field.
LE-IC-042,IEEE 9274 Family (xAPI / Experience API),https://xapi.com/overview/,SG,T11,"T04, T16","Data instrumentation standard governing how learning experiences are tracked, stored in Learning Record Stores (LRS), and analyzed across distributed platforms. Includes JSON-LD application profiles, cybersecurity protocols, and vocabulary registries."
LE-IC-043,IEEE P2247.1 & P2247.2: Adaptive Instructional Systems (AIS),https://standards.ieee.org/project/2247_1.html,SG,T06,"T11, T16","Classifies components, parameters, and interoperability protocols for adaptive instructional systems — engineering blueprints for building systems that dynamically adjust instruction based on real-time learner state."
LE-IC-044,IEEE 1484.20.2: Recommended Practice for Defining Competencies,https://standards.ieee.org/ieee/1484.20.2/10435/,SG,T05,"T16, T11","Rigorous data schema for defining human competencies. Supports Integrated Learner Records (ILR) spanning K-12, higher education, workforce, and military environments."
LE-IC-045,IEEE 1484.12.1-2002 & P2881: Learning Object Metadata (LOM),https://standards.ieee.org/ieee/1484.12.1/1280/,SG,T11,"T05, T16","Essential standards for cataloging, discovery, and semantic structuring of digital learning resources across repositories. P2881 is the modernized successor incorporating linked data and accessibility requirements."
LE-IC-046,Open Context Exchange (OCX),https://learningtapestry.github.io/ocx/,SG,T11,T05,OER schema: specification and metadata ontology for publishing Open Educational Resources on the web. Unifies content to a standard vocabulary for discoverability and automated remixing.
LE-IC-047,IEEE 1484.12.1-2002 & P2881: Learning Object Metadata,https://standards.ieee.org/ieee/1484.12.1/1280/,SG,T11,"T05, T16","Essential standards for cataloging, discovery, and semantic structuring of digital learning resources across repositories. Enables automated discoverability and cross-platform content reuse."
